,Estimator,Time,Best Params
262,SVR,7.85500001907,"{'C': 100, 'gamma': 'auto'}"
263,RFR,14.4420001507,"{'n_estimators': 10, 'min_samples_split': 2, 'bootstrap': True, 'max_features': 'auto'}"
264,DTR,6.66700005531,"{'splitter': 'best', 'max_depth': 5}"
265,SVR,5.00999999046,"{'C': 100, 'gamma': 0.0001}"
266,RFR,16.8450000286,"{'n_estimators': 10, 'min_samples_split': 4, 'bootstrap': False, 'max_features': 'auto'}"
267,DTR,7.02099990845,"{'splitter': 'best', 'max_depth': 7}"
268,SVR,4.99300003052,"{'C': 10, 'gamma': 'auto'}"
269,RFR,10.7920000553,"{'n_estimators': 30, 'min_samples_split': 8, 'bootstrap': False, 'max_features': 'sqrt'}"
270,DTR,3.76900005341,"{'splitter': 'best', 'max_depth': 6}"
271,SVR,4.23099994659,"{'C': 10, 'gamma': 'auto'}"
272,RFR,15.2780001163,"{'n_estimators': 30, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'log2'}"
273,DTR,3.8109998703,"{'splitter': 'random', 'max_depth': 8}"
274,SVR,4.50500011444,"{'C': 100, 'gamma': 0.001}"
275,RFR,19.111000061,"{'n_estimators': 40, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'log2'}"
276,DTR,3.71000003815,"{'splitter': 'random', 'max_depth': 7}"
277,SVR,4.09099984169,"{'C': 1000, 'gamma': 0.001}"
278,DTR,3.62999987602,"{'splitter': 'random', 'max_depth': 5}"
279,DTR,4.10599994659,"{'splitter': 'best', 'max_depth': 10}"
